,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
159,,,,,,,,,,,,,,,,,,,[515.6446 636.0417],[516.70874 634.95874],[505.2    644.3317],[508.72647 637.52356],[510.854  649.3431],,[502.75653 639.88983],[506.57648 631.4706 ],[512.1111  637.75757],[501.05405 646.3446 ],[490.2623 636.4836],[485.7293 641.6541],[495.51352 650.8    ],[492.06226 651.10895],[498.1315 649.2664],[487.0926  662.49536],[475.4966  650.61224],[476.66458 655.3913 ],[473.09555 649.2675 ],[471.43353 656.43933],[463.47458 670.8644 ],[455.35483 663.07526],[475.87195 652.46344],[473.98148 653.6111 ],[481.67447 649.98956],[492.52487 653.9116 ],[485.31973 657.86395],[473.3875  650.64374],[462.81656 650.85205],[472.08224 654.22943],[470.1695  639.61584],[471.76022 638.7719 ],[478.77087 639.36755],[485.59875 642.3333 ],[480.206   647.24255],[481.0915  641.67505],[477.9565 642.5471],[476.37653 641.2186 ],[466.88235 645.58826],[481.36935 641.57056],[488.77582 636.83185],[481.52585 636.20667],[490.     631.0661],[495.9659  632.67804],[487.8317 630.4324],[494.53622 625.9058 ],[495.34396 614.2038 ],[496.0566 612.1572],[492.80768 603.77405],[497.16818 602.41364],[490.08844 614.35376],[497.33133 622.61444],[495.4536  605.95874],[491.85107 611.6099 ],[492.8684 618.6391],[481.84634 622.01764],[472.70792 613.6048 ],[477.59723 621.31946],[475.0387 624.7226],[478.15332 624.68665],,[482.59406 627.132  ],[482.99277 629.12683],[487.57144 632.     ],[479.74597 633.0484 ],[487.14285 649.75415],[490.09525 647.8349 ],[489.5811 648.1655],[487.06708 648.46967],[483.6344  643.25806],[482.825  644.3417],[484.2807 646.5526],[481.04517 646.0065 ],[479.3876 640.1783]
160,,,,,,,,,,,,,,,,,,,[ 531.98676 1261.9006 ],[ 537.2722 1261.1056],[ 527.7259 1262.066 ],[ 538.85236 1258.5143 ],[ 530.6039 1268.5748],[ 526.6    1260.2715],[ 528.18134 1261.9275 ],[ 522.84576 1257.806  ],[ 520.6175 1260.6682],[ 522.87036 1271.5139 ],[ 511.50443 1261.8097 ],[ 506.48245 1267.785  ],[ 515.5879 1264.1243],[ 506.13654 1266.4337 ],[ 511.52325 1264.1589 ],[ 501.82706 1277.97   ],,,[ 505.80392 1267.0117 ],[ 500.5102 1252.7142],[ 488.10318 1258.877  ],[ 502.89517 1264.7097 ],[ 516.15045 1251.5752 ],,[ 518.54626 1249.6069 ],[ 514.4048 1252.6904],[ 505.41666 1233.6666 ],[ 499.3489 1227.8597],[ 498.80487 1243.1788 ],[ 511.05518 1242.3103 ],[ 505.4207 1243.8   ],[ 506.55383 1246.1923 ],[ 505.92426 1244.697  ],[ 490.88235 1239.8235 ],[ 480.545  1245.0095],[ 485.95413 1240.8716 ],[ 483.46667 1241.425  ],[ 482.0504 1239.9832],[ 476.928 1235.276],[ 478.26724 1244.2069 ],[ 484.26923 1241.1923 ],[ 478.75214 1239.8975 ],[ 487.3305 1234.3813],[ 493.2126 1237.6929],[ 498.73093 1222.8595 ],[ 501.48016 1223.2659 ],[ 498.67432 1224.3984 ],[ 498.43893 1220.1832 ],[ 495.73254 1202.5271 ],[ 492.775  1189.9667],[ 488.59525 1190.3969 ],[ 475.67392 1198.2319 ],[ 463.56668 1198.8667 ],[ 461.20175 1203.3508 ],[ 458.47028 1196.2108 ],[ 470.81818 1195.719  ],[ 461.2014 1188.4166],[ 473.27908 1197.8682 ],[ 473.736 1204.504],,[ 468.49738 1214.9005 ],[ 463.03046 1212.6954 ],[ 459.86316 1214.5526 ],[ 463.71643 1215.7015 ],[ 457.28497 1215.7202 ],[ 444.86047 1207.4186 ],[ 447.29077 1206.4894 ],[ 446.5926 1208.6593],[ 443.30554 1219.5625 ],[ 443.18842 1220.6232 ],[ 443.78262 1218.7898 ],[ 450.13605 1210.0068 ],[ 442.7857 1221.0892],[ 429.02  1216.508]
161,,,,,,,,,,,,,,,,,,,[545.2378 966.2195],[549.4867 969.9667],[535.1779  971.82825],[542.3584  963.44507],[532.712  972.2337],[537.37244 957.6174 ],[540.35956 959.80896],[535.0526 954.9123],[539.226  955.3277],[542.8994 966.1844],[536.54  954.885],[538.10254 960.03076],[552.348   954.17645],[546.1139 957.1733],[547.9447  954.47235],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,[551.77527 927.2472 ],,,,,,[560.1111 928.8421],[559.76025 925.4863 ],[565.9655  928.34485],[567.35376 935.27893],[569.46185 929.85114],[565.6709 939.9684],[560.7    939.3714],,[555.1688 937.5714],,[559.14197 937.5864 ],[576.0075 938.7444],,,,,[561.9379 926.9724],[572.438  939.1653],[565.941  936.6165],[571.99506 936.9109 ],[576.5625 928.5789],[576.5621  940.80066],[570.35205 938.1121 ],[575.31036 938.4655 ],[565.2057  938.98584],[565.7218 939.0602],[555.9238 925.    ],[562.74567 924.4138 ],[557.10425 929.02844],[546.0635  921.39685],[543.10077 920.23254],[541.83466 918.92126],,[546.58405 923.9292 ],[555.7934 920.2149],[556.8364  917.64685],[566.44366 911.02466],[550.8778  915.90045],[563.24506 911.8142 ],[565.0235  913.94293],[565.1733 916.5487],[564.9313  914.68384],[566.6036  914.72974],[573.3774  912.51886],[570.5042  911.15125],[559.1544  914.30145],[570.654  914.3114],[573.2564 911.7778],,[583.2185 907.2605],[571.6991  900.70795],[567.6941 914.5941],[565.70325 920.8516 ],[579.5369  926.71924],[583.40814 922.7653 ],[592.6875 921.8333],,[592.55927 923.7583 ],[586.9609 923.5174],[591.44165 922.7462 ],[602.1389 913.5648],[601.8417  915.14166],[599.23425 915.8108 ],[591.9   924.592],[601.888 914.088],[604.46576 916.58905],[608.7838 901.8757],[610.27124 895.5263 ]
163,,,,,,,,,,,,,,,,,,,[569.19025 604.5805 ],[577.465 606.67 ],[565.7957 609.    ],[570.63385 601.9672 ],[568.3714 611.1286],[570.9895 602.4346],[570.5781 605.1406],[567.8342 599.1823],[567.45685 599.01526],[568.23035 606.32587],[557.6983  594.13965],[554.2    593.7238],,[558.9732 586.9554],[563.73956 585.71875],[567.44543 601.2182 ],[570.6964 586.5   ],[572.10785 597.4902 ],[571.17523 595.58765],[568.04694 594.6995 ],[570.1565  596.12177],[564.5645  604.77954],,[560.28 603.24],[554.43146 599.26904],[564.8125 596.1964],[561.39233 591.4077 ],[559.1145  600.44275],[551.12976 598.687  ],,[557.439   602.98376],[576.13495 616.6905 ],[572.73334 612.04443],[578.8827 616.6313],[574.0058  623.05817],[575.5314 622.1594],[572.17676 623.99493],[570.7177 618.3629],[577.8214 621.2857],[577.91113 622.54443],[584.2105 627.7632],[575.1386 626.6733],[573.5093 633.5242],[580.24615 637.78845],[571.3193  635.76843],[557.51263 642.98553],[556.2836 645.3782],[546.7279 664.0476],[532.1852 664.9736],[540.01025 661.0615 ],[543.7171 668.6184],[537.7093 673.7907],[549.5283  666.55347],[537.3991 662.5202],[538.1383  663.34045],[545.4728 657.5063],[543.9627 658.0597],[551.1087 667.2536],[540.1556 662.44  ],[551.60785 669.9739 ],[555.26544 667.82715],[548.9932 665.6871],[546.93195 667.3129 ],[550.75336 669.38666],[556.69714 684.0114 ],[568.2374 699.8921],[564.5725 702.2082],[557.8504 703.1732],[556.01434 700.4402 ],[568.8131 704.    ],[569.40405 702.8687 ],[571.7041 705.8469],[574.0482 696.6506],[574.96295 695.3457 ]
164,,,,,,,,,,,,,,,,,,,[585.3578 941.9633],[586.0049 938.3171],[574.5    936.8594],[580.3396 930.8019],,[576.125   937.85834],[575.03845 937.6987 ],[571.84766 932.80133],[576.8889 932.    ],[579.8392  940.55945],,[574.6    937.3273],[579.5808 930.8862],[568.943  933.1295],[576.3624 928.7852],,[582.30255 926.6891 ],[583.088 931.136],[579.8125  927.53906],[578.5586 937.5586],,,[588.19385 926.6531 ],,,[582.8684 933.693 ],,,,[589.0197 941.4729],[580.2227  942.94324],[580.17413 942.1786 ],[571.82513 936.21075],[577.2652  937.74347],[566.031 942.876],[558.78723 924.4787 ],[554.3402  925.12885],[552.7213  923.45905],[558.2059 924.7311],[557.7213 927.1694],[568.4103  920.97437],[567.7778  937.31744],,[580.56696 935.40155],[571.49207 933.3095 ],[574.5185  934.83704],[589.4706 939.4706],[594.6244 951.3858],[588.10767 958.64105],[595.75574 956.29956],[588.83765 971.12335],[591.4962 967.594 ],[594.3355 968.9342],[592.6607 973.0536],[592.5682  970.94543],[599.37933 975.0172 ],[614.37616 966.0459 ],,[624.7561 961.5122],,,[620.561   966.88617],[620.327  979.4528],[624.1645 981.375 ],[618.8366 981.3333],[623.3077  979.95807],[625.6037 979.7834],[617.     960.4747],[614.8121  960.50336],[613.48486 961.7818 ],[627.02246 957.4719 ],[637.2432  947.68243],[632.8182  933.96466],[635.03467 928.90594]
165,,,,,,,,,,,,,,,,,,,[589.2361 716.4028],[595.08  718.184],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,[600.62067 941.3161 ],[603.95416 942.7708 ],[591.6772  946.46204],[601.27246 939.59753],[595.00665 946.98   ],[597.55554 935.69006],[594.8639 938.5562],[598.1694 935.8907],[598.7208  932.88324],[606.0056  937.17316],[600.8125  932.10095],[598.9604 936.6089],[611.96716 932.8873 ],[603.0192 931.1586],[611.10504 933.0822 ],,[605.7182  934.37726],[606.9593  939.26697],[603.50903 933.5721 ],[600.8054 941.0452],[605.9852 959.5369],[599.18134 967.5492 ],[607.3713 943.6881],[598.9459  949.35583],[589.7166 944.3887],[600.30286 939.1771 ],[599.77905 929.6047 ],[604.94946 930.35394],[602.6048 928.5748],[614.7159 929.1193],[605.0264 928.8201],[608.06976 929.6453 ],[599.74646 937.7711 ],[603.25    938.26056],[598.23126 940.87415],[596.5375 939.6   ],[591.39105 933.4327 ],[590.731  931.3304],[598.86365 930.5    ],[589.4472 940.5901],[587.35077 937.097  ],[592.      934.23016],[585.70667 926.5733 ],[605.69696 925.4192 ],[598.3121 921.2341],[599.86365 922.0303 ],[600.2466 921.7534],[593.8571 925.5824],[595.5956 925.3897],[601.31445 922.1572 ],[609.51666 927.8    ],[604.1337  936.80817],[613.59576 924.20746],[615.9011 922.4176],[622.6977  919.76746],[623.69696 914.52527],[619.9316 919.3579],[610.0876  919.75183],[608.7016  922.04034],[608.41046 921.8358 ],[613.0143 920.7357],[616.48596 911.34576],[625.44446 910.47345],[629.55273 910.4824 ],[623.6788 912.1088],[628.82794 912.0323 ],[635.43365 930.1174 ],[632.3155  911.93585],[629.8036 913.6369],[629.17645 917.877  ],[639.9845 931.5511],[654.4448  939.22076],[652.12915 943.1875 ],[657.9585  938.67633]
167,,,,,,,,,,,,,,,,,,,[616.5769 738.7077],[627.2156  737.48505],[613.      744.92035],[623.5154  742.17694],[618.32117 751.67883],[618.72266 742.56934],[625.1119 744.4685],[622.13983 739.04895],[626.3182  739.87665],[631.8947 750.9211],[619.56946 742.4375 ],[614.58826 743.41174],[621.6754 729.7193],,[608.94366 722.9718 ],,,[595.64935 731.6039 ],[594.7639 727.1528],[593.0513  731.89746],[587.46155 740.27405],[598.1855 739.3387],[616.7095  728.62836],[607.16327 736.1905 ],[598.7664 732.365 ],[611.8461 728.4231],[611.5707  720.14136],[608.6336 730.3359],[601.82    726.00665],[617.39874 727.63806],[622.2182 733.6606],[623.11176 733.8156 ],[623.4134  729.44135],[628.7558 730.6686],[626.96893 735.43524],[625.11584 733.4207 ],[618.02997 729.3114 ],[609.6959  728.07434],[620.80646 731.4129 ],[619.73724 733.1752 ],[629.16437 731.226  ],[623.6651  731.06976],[633.8758 723.183 ],[641.2733  730.24664],[633.10626 728.6125 ],[638.922   731.70215],[636.9589 731.4247],[639.6889  728.01483],,[642.77856 730.3214 ],[635.92535 732.3955 ],[636.0584  761.81024],[644.2846 745.2846],[637.24615 735.1462 ],[636.66 749.9 ],[652.19354 741.0645 ],,[645.3333 740.0933],[643.28107 743.7386 ],[644.05634 742.8732 ],[644.0922 746.2553],[638.3788  742.00757],[633.2256 739.7594],[637.16156 741.45386],[628.36206 741.1983 ],[632.4809 740.3359],[632.1737 741.3947],[630.9554 752.3393],[629.1964 752.5268],[629.7288  753.77966],[629.621  753.8226],[643.3721 743.845 ],[639.5238 742.1905],[645.1549  737.14087]
168,,,,,,,,,,,,,,,,,,,[ 617.03613 1254.1887 ],[ 634.4334 1246.5448],[ 626.3774 1233.5818],[ 633.1366 1234.9592],[ 627.9664 1247.1616],[ 626.6987 1238.6185],[ 625.5848 1243.219 ],[ 622.93774 1239.0812 ],[ 628.6419 1240.1605],[ 636.3467 1250.8188],[ 627.9558 1241.1078],[ 625.6445 1243.0323],[ 635.2289 1238.5017],[ 621.0052 1236.416 ],[ 629.9344 1236.2954],[ 624.0825 1261.7096],[ 622.02246 1248.8202 ],[ 625.9942 1255.6337],[ 624.0955 1253.927 ],[ 621.9907 1260.5463],[ 619.8843 1267.6694],[ 618.4612 1259.137 ],[ 629.5363 1250.0837],[ 627.04254 1261.3915 ],[ 618.1343 1258.2314],[ 626.57513 1255.2618 ],[ 625.2009 1243.0457],[ 621.9704 1254.9736],[ 620.1569 1252.6996],[ 616.4918 1234.2664],[ 606.3239 1232.1538],[ 607.823  1224.6283],[ 607.1721 1220.5328],[ 612.5854 1220.3008],[ 607.31195 1225.2385 ],[ 604.6419 1218.1351],[ 599.9067 1217.8134],[ 599.1268 1216.838 ],[ 605.02686 1220.4161 ],[ 601.4832 1221.9396],[ 608.7707 1228.6752],[ 604.25336 1218.0734 ],[ 613.11536 1213.75   ],[ 618.87805 1217.6769 ],[ 611.5954 1215.8555],[ 615.98267 1216.4913 ],[ 616.4783 1215.7065],[ 616.2898 1211.2671],[ 609.2676 1218.1198],[ 619.16754 1218.4216 ],[ 611.75366 1212.9325 ],,[ 612.9773 1227.2727],[ 616.8913 1220.1141],[ 618.105  1230.3204],[ 625.425 1206.795],[ 627.2069 1219.7931],[ 623.8571 1218.9143],[ 624.7778 1219.5247],[ 626.1617 1220.1317],[ 626.73724 1217.1898 ],[ 621.8333 1212.3043],[ 619.07355 1212.6471 ],[ 624.8837 1215.3198],[ 621.3979 1213.712 ],[ 626.3736 1214.7528],[ 630.69946 1214.9949 ],[ 631.7523 1216.4486],[ 630.0966 1215.483 ],[ 630.6636 1218.5714],[ 617.6185 1223.763 ],[ 631.83185 1219.0398 ],[ 627.2844 1217.789 ],[ 630.13  1213.515]
169,,,,,,,,,,,,,,,,,,,[618.51495 613.7239 ],[625.57043 612.92255],[612.88336 612.4    ],[619.41614 604.1208 ],[615.2319 615.8406],[619.8933 607.5267],[628.68115 615.00726],[627.64465 617.3223 ],[631.8889 617.4762],[639.81616 627.3603 ],[638.0744  614.36365],[641.8403 619.0278],,,,,,,,,,,[646.5158 632.4053],[644.4353 641.6177],,[643.8201  639.84125],[642.38696 630.28143],[642.0303 640.7323],[635.4398 637.8333],[649.56476 639.10364],,[645.2387  641.63965],[642.72546 639.0353 ],[648.37286 640.5847 ],[642.008 645.251],[627.5705 651.6577],[624.9927 652.1314],,,,,,,,,,[610.8823 663.2059],,,,,[608.06525 649.913  ],,,[613.448 640.656],[608.2135 629.6573],[597.5875 620.5375],[603.184  628.1043],[602.2405 629.1962],[604.6331 630.2722],[607.1361  628.32544],[599.9405 626.8631],[600.9704  615.11835],[597.2372 629.9039],[591.6977  629.01746],[592.2851 624.7675],[597.1625  626.85626],[593.9167 627.4423],[590.9184 623.9837],[588.4379 626.2418],[587.634  623.7843],[589.3014 625.4041],[581.2276 624.2966],[576.33844 629.66156]
170,,,,,,,,,,,,,,,,,,,[626.05646 607.29034],[631.12305 623.2923 ],[618.7787 622.6721],[626.1079 615.5108],[622.0682 626.4394],[626.99316 618.8288 ],[632.29364 625.5952 ],[634.9058 623.913 ],[637.9323 625.609 ],[644.4094 636.6107],[633.6096 624.0411],[633.7365 628.2027],[646.8496 624.7143],[633.87445 631.2469 ],[642.41406 627.7461 ],,[636.99255 629.2937 ],[634.6709  635.90717],[640.9048  633.81744],[637.6895  640.12274],,[640.3161 655.523 ],[637.29456 640.42633],[634.28345 647.5748 ],[635.2865 642.2216],[635.39496 648.7563 ],[635.3958 642.1597],,,,,,,,,,,[635.79614 638.9231 ],[644.31226 641.49805],[645.77185 644.8495 ],[653.16815 640.50885],[649.1574 641.8843],[657.0321  637.08716],[662.5525 639.1507],[649.5047 633.1368],[656.5517 635.7586],[651.6278 636.5336],[649.0977 635.1433],,[648.8644 632.7288],[646.0417 626.5417],,[648.08405 623.7605 ],[645.9014 626.7089],[643.62616 639.85516],[658.0762 622.0333],,[645.0459 628.6684],[645.9663 633.3371],[652.2256 634.2622],[655.4853  630.19855],[653.1773 628.5177],,[649.63635 630.979  ],[639.9662 630.2973],[644.46204 631.7405 ],[650.7273  630.13635],[650.5473 630.4459],[649.6894  630.61365],[649.51306 628.04346],[648.5182 623.8273],[647.33795 621.8276 ],[643.14874 620.6198 ],[649.7778 618.9286]
171,,,,,,,,,,,,,,,,,,,[ 646.5814  1021.94885],[ 653.09326 1022.69946],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,[662.4609  172.25217],,[662.83856 175.42188],,,[672.6023 168.75  ],,[676.2677  168.33838],[678.414  161.8726],,[684.8508  152.44199],[685.8455  151.73984],,[685.6308  154.55385],[690.5455 152.6923],,[677.542   148.43512],[683.82996 157.72789],[685.4545  154.24243],[687.0891  164.38614],,[675.3871  173.85161],[686.2643  168.62857],[680.7293  166.45113],[678.57574 166.08081],[688.79004 166.37292],[688.1561  158.54008],[687.54016 166.47081],[683.4429  170.03572],[689.875   162.22826],[679.86914 163.90654],[681.53094 163.69911],[680.0091  162.06363],[685.5566  161.29245],[680.88184 162.8091 ],[680.2522 156.0087],[675.9649 155.0965],[673.4531  156.96875],,[679.9091  164.28181],[693.4071  162.65486],[686.9524  158.69524],[691.75 160.91],[703.7692  159.85577],[694.55853 161.20721],[698.86664 160.12381],[697.7946  158.96428],[697.0625 152.625 ],[694.4355 158.2258],[701.4959 155.1626],[698.2869  155.74783],,[695.5165  160.76373],[693.3436 163.2973],[695.4286  177.63637],[695.39154 169.74603],[682.45624 162.47926],[691.77203 153.3886 ],[697.6298  158.52238],[694.34125 174.6746 ],[700.03253 170.76422],[695.6923  165.81197],[692.8347  165.78513],[697.2328  164.10582],[704.3333  161.73529],[710.30255 159.58974],[705.916   154.05344],[705.4255  155.73817],[702.78094 159.22615],[705.79016 139.16072],[708.4889 137.    ],[711.55414 139.82684],[706.131   137.37991],[708.70795 133.79208]
173,,,,,,,,,,,,,,,,,,,[670.5856  178.05405],[670.19867 173.86755],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,[706.0184 182.3945],[710.916  181.2519],[700.05927 187.41481],[709.1698  185.05661],,[700.97205 183.65034],[705.67566 182.24324],[700.5     179.07378],[697.8659  181.13966],[702.62305 190.69633],[696.8087  180.31694],[689.3031  183.82812],[696.7373  175.77881],[709.94196 168.98709],,[703.36  185.805],[696.5787 178.3427],[705.8333 162.6842],[707.0097  156.67961],[706.5372  164.50414],,,[714.15247 152.39635],,[709.9934 144.6579],[718.586   149.85988],[718.3354  144.60869],[718.1394 152.3091],[712.60266 153.38411],[724.33984 171.55556],[721.8221 173.4049],[725.3063  176.60625],[716.11694 160.24597],[717.9067  162.14667],[713.5563  168.44371],[715.77167 163.3653 ],[711.8559  164.43231],[705.7234  165.40425],[705.8972  158.14954],[706.14636 159.57724],[714.603   153.16794],[709.4436  153.33083],[717.0972  149.32639],[723.01587 155.62698],[714.29297 156.71338],[717.69653 155.50345],[716.9933  154.65771],[719.0199  152.58278],[714.9286 159.7013],[722.7626  152.82733],[719.53235 158.04942],[713.13586 167.78261],[723.6894  173.28787],[717.56525 178.94409],[710.765 185.13 ],[726.44495 174.41284],[714.8945  166.08716],[705.31757 173.76352],[704.37805 178.32927],[706.6257  179.04616],[711.1194  176.76617],[706.19336 171.48067],[702.01025 173.71281],[706.9231 174.3077],[691.0457  165.04568],[698.018   167.96404],[698.4915  169.59322],[698.3241  169.64815],[696.4779  172.21239],[703.32855 163.01729],[706.7971  159.03381],[710.6114  161.11398],[705.55707 153.80537],[704.4318  152.67802]
175,,,,,,,,,,,,,,,,,,,[727.5692  177.33846],,,,,,,,[730.451  163.0196],[732.7143  170.26785],,,[719.6118  171.95395],,[718.1064  168.22694],,[711.36487 163.73648],[718.4258  169.11613],[719.94086 162.78699],[719.93976 169.64458],[720.5263  188.50877],[717.48663 184.3262 ],[715.8565 206.4574],[711.9148  212.33704],[697.6398  203.45699],,,,,,[710.8256  212.38461],[713.1778  213.41112],[718.1179  204.96698],[727.1803  203.97131],[724.36755 209.82782],[723.5775  205.95721],[715.7354  207.64125],[713.24255 207.14851],[718.9837  209.04898],[714.9813  210.03271],[725.56696 206.5134 ],[716.18024 191.25   ],[724.7988  186.45403],[727.4815  193.18518],[718.59015 193.10382],[722.7368  193.87895],[723.1937  193.22513],[724.9508 188.6175],[718.4661 202.8765],[722.6923  205.74359],,[722.4865  207.05405],,,[726.7313 206.5   ],,,,,,[729.2438 201.1125],[750.72894 205.62149],[745.8955  207.35324],[749.2183  207.42795],[743.8293 205.1561],[748.48596 205.13551],[726.65564 200.45695],[726.8973  200.26712],[715.7721  211.69768],[714.4413 209.4601],[716.1716  206.67647],[718.0433  209.26442],[712.16583 206.83937],[714.6462  202.20512]
176,,,,,,,,,,,,,,,,,,,[ 740.0415 1134.3962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,[ 796.8458 1107.581 ],[ 807.07886 1104.0332 ],[ 789.9965 1106.8456],[ 797.06665 1101.7583 ],[ 791.3284 1109.3763],[ 791.15027 1092.0363 ],[ 794.6558 1095.0325],[ 788.7795 1095.5231],[ 795.89935 1094.0403 ],[ 802.6953 1110.6172],[ 790.1515 1095.1061],[ 778.8293 1102.4065],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,[ 845.80554 1324.1666 ],,[ 846.8482 1330.9464],[ 851.36365 1340.6364 ],[ 845.9871 1350.0839],[ 841.86664 1343.8667 ],[ 855.549  1347.2843],[ 857.05554 1345.5927 ],[ 858.4145 1346.875 ],[ 855.5455 1355.9421],[ 846.1586 1347.4414],[ 841.3059 1353.0059],[ 855.3943 1352.1714],[ 845.92694 1352.8707 ],[ 851.0852 1351.034 ],,[ 857.83594 1355.6641 ],[ 855.2717 1356.4565],[ 849.4889 1352.3815],[ 843.32416 1361.4482 ],[ 850.2541 1372.5492],[ 845.2878 1365.518 ],[ 855.98517 1353.6888 ],[ 851.5338 1361.3534],[ 838.2349 1359.396 ],,,[ 844.52545 1354.1864 ],,[ 852.1556 1352.3851],[ 844.6705 1357.7235],[ 821.8514 1366.0586],[ 818.4766 1366.5787],[ 823.0429 1368.9828],[ 816.6824 1376.9227],[ 815.14966 1371.7007 ],[ 814.2215 1374.3354],[ 818.02325 1371.5349 ],[ 817.75934 1372.5104 ],[ 817.9146 1374.3025],[ 831.89655 1377.3103 ],[ 829.5282 1374.2465],[ 843.5102 1363.5714],[ 852.3677 1370.2427],[ 847.92145 1370.1929 ],[ 853.61365 1372.8864 ],[ 853.8993 1367.964 ],[ 851.7559 1363.3779],[ 846.288 1366.8  ],[ 845.8041 1373.5067],[ 839.34375 1374.2625 ],[ 841.21936 1353.8253 ],[ 851.1037 1347.3407],[ 846.3009 1349.4956],[ 859.5762 1340.1854],[ 872.2578 1339.4844],[ 870.3823 1337.6912],[ 867.617  1343.4539],[ 865.8851 1347.3563],[ 865.85187 1349.0667 ],[ 882.79395 1349.7152 ],[ 881.1197 1360.3169],[ 882.2805 1358.8823],[ 886.7018 1357.8158],[ 879.87256 1373.2009 ],[ 885.2319 1373.8309],[ 890.4145 1374.0674],[ 891.9256 1373.879 ],[ 907.7542 1388.7712],[ 888.9806 1376.5   ],[ 908.2883 1384.6687],[ 894.0628 1378.9131],[ 889.6068 1377.6796],[ 904.886  1386.2539]
179,,,,,,,,,,,,,,,,,,,[923.70544 777.3953 ],[928.15045 777.7699 ],[927.8141 789.0961],[914.7778  781.66016],[916.3333  788.08545],[912.89514 779.24194],[914.9696 785.1711],[910.7888 782.2174],[915.0072 779.3249],[913.6224  796.87415],[907.13983 790.1818 ],[905.04285 794.8143 ],[916.2261 780.5739],[908.0379 778.8561],[916.06525 776.558  ],[915.62274 776.8862 ],[912.36365 777.2803 ],[915.7619 783.9048],[915.00684 777.31506],[912.09656 785.531  ],[920.7914  776.03595],[918.40814 759.7347 ],[913.33856 747.4252 ],[910.098  752.1137],[919.67065 759.11975],[906.05524 756.39874],[901.7597  747.42633],[899.33093 743.15106],[890.2443 738.642 ],[900.6648 741.4022],[891.2474 742.6316],[893.90405 745.13635],[891.16925 743.50256],[894.10394 743.6238 ],[888.5602  747.47644],[888.91876 741.75635],[897.96204 748.6266 ],[893.5894  746.12585],[899.6347 747.2395],[898.642  747.5909],[890.4186  740.85114],[899.82635 741.491  ],[905.1752  735.46326],[899.53845 736.99097],[891.02716 735.6742 ],[893.76776 737.1706 ],[901.1196  738.00665],[902.7456 735.7456],[896.7624 738.4802],[901.95123 734.4195 ],[894.59534 731.3349 ],,[899.0751  736.72406],[894.7657  740.95605],[891.31464 742.9551 ],[895.29645 736.13043],[886.86914 714.1869 ],,,,[896.48596 721.65424],[889.3823 719.7941],,,[881.24347 729.51306],[885.5051 728.0232],[884.7296 727.4107],[904.1111  735.41113],[902.7462 734.6212],[917.0483  741.33795],[917.8015  740.32825],[929.8834  733.76685],[935.5752  741.53094],[937.5892  736.57837]
